time,open,high,low,close,tick_volume,spread,real_volume
1741364820,87533.36,87637.15,87405.42,87577.52,607,140,0
1741364880,87577.23,87718.62,87488.38,87523.7,571,140,0
1741364940,87523.7,87543.35,87376.05,87473.92,465,140,0
1741365000,87473.92,87613.07,87405.11,87466.94,595,140,0
1741365060,87453.73,87663.87,87362.31,87568.13,588,140,0
1741365120,87568.13,87572.03,87393.99,87478.02,534,140,0
1741365180,87478.02,87666.29,87450.5,87540.96,566,140,0
1741365240,87541.27,87660.18,87476.18,87611.81,503,140,0
1741365300,87612.0,87630.58,87468.55,87512.55,470,140,0
1741365360,87513.95,87545.26,87294.09,87407.66,552,140,0
1741365420,87407.66,87480.34,87157.37,87207.8,537,140,0
1741365480,87207.8,87298.41,87145.84,87259.52,477,140,0
1741365540,87268.4,87400.39,87249.21,87400.37,498,140,0
1741365600,87400.37,87408.27,87189.59,87201.46,389,140,0
1741365660,87205.38,87225.78,87053.02,87197.57,482,140,0
1741365720,87200.17,87233.6,86995.73,86995.73,415,140,0
1741365780,86988.84,87218.38,86959.38,87218.38,449,140,0
1741365840,87218.38,87316.05,87149.08,87275.81,496,140,0
1741365900,87276.66,87310.66,87167.23,87291.63,473,140,0
1741365960,87303.93,87463.21,87245.29,87367.99,504,140,0
1741366020,87367.99,87412.53,87259.39,87338.29,477,140,0
1741366080,87339.8,87346.54,87065.69,87066.81,434,140,0
1741366140,87066.8,87077.14,86882.17,87050.81,462,140,0
1741366200,87051.01,87080.61,86820.1,86917.86,450,140,0
1741366260,86917.86,86964.14,86727.76,86811.29,512,140,0
1741366320,86801.52,86856.56,86600.0,86728.05,483,140,0
1741366380,86728.05,86788.45,86627.28,86665.49,431,140,0
1741366440,86666.99,86913.37,86666.99,86892.32,496,140,0
1741366500,86892.32,86970.26,86743.5,86932.7,515,140,0
1741366560,86933.22,87127.86,86875.24,87070.49,540,140,0
1741366620,87072.29,87125.45,86990.12,87125.45,482,140,0
1741366680,87114.9,87144.65,87005.51,87041.54,520,140,0
1741366740,87041.64,87252.85,86985.06,87223.04,482,140,0
1741366800,87223.05,87415.84,87153.36,87390.86,546,140,0
1741366860,87392.09,87397.31,87204.98,87268.94,508,140,0
1741366920,87282.03,87562.25,87264.41,87543.72,563,140,0
1741366980,87534.49,87555.53,87425.53,87500.73,497,140,0
1741367040,87502.23,87545.49,87208.35,87231.34,505,140,0
1741367100,87240.36,87305.21,87113.78,87139.19,446,140,0
1741367160,87139.19,87139.19,86770.49,86790.86,543,140,0
1741367220,86789.11,87050.13,86771.16,87020.65,449,140,0
1741367280,87020.6,87071.23,86928.89,86969.83,449,140,0
1741367340,86976.76,86999.32,86789.16,86884.81,451,140,0
1741367400,86886.61,87036.58,86858.72,87009.26,483,140,0
1741367460,87009.05,87017.76,86771.85,86845.77,459,140,0
1741367520,86850.17,86928.69,86770.79,86822.21,455,140,0
1741367580,86820.99,86895.98,86706.81,86883.71,490,140,0
1741367640,86886.67,87004.2,86860.7,86939.98,425,140,0
1741367700,86940.77,86993.51,86827.81,86945.09,437,140,0
1741367760,86951.74,87023.96,86866.71,86891.02,427,140,0
1741367820,86888.72,86994.48,86794.5,86882.35,414,140,0
1741367880,86882.35,86882.35,86751.0,86754.59,450,140,0
1741367940,86754.78,86755.31,86522.73,86725.28,548,140,0
1741368000,86725.28,86834.8,86681.93,86829.75,471,140,0
1741368060,86829.74,86839.52,86665.5,86781.08,479,140,0
1741368120,86781.08,86941.26,86733.13,86870.83,439,140,0
1741368180,86870.83,87073.41,86846.09,86990.59,465,140,0
1741368240,86990.87,87207.15,86980.24,87171.35,503,140,0
1741368300,87171.35,87311.93,87078.37,87205.06,476,140,0
1741368360,87205.67,87290.56,87126.97,87156.59,432,140,0
1741368420,87156.57,87351.39,87154.04,87344.48,488,140,0
1741368480,87345.25,87378.18,87274.87,87346.46,454,140,0
1741368540,87350.57,87350.57,87207.38,87336.34,415,140,0
1741368600,87337.21,87337.21,87096.18,87169.89,498,140,0
1741368660,87173.33,87179.46,86982.5,87010.58,447,140,0
1741368720,87006.6,87328.57,86991.76,87244.03,443,140,0
1741368780,87246.91,87416.96,87214.65,87405.21,453,140,0
1741368840,87405.21,87585.12,87385.7,87533.22,512,140,0
1741368900,87533.22,87659.35,87339.25,87367.6,484,140,0
1741368960,87366.91,87564.88,87292.25,87558.57,451,140,0
1741369020,87558.57,87744.84,87527.57,87678.33,541,140,0
1741369080,87676.91,87724.83,87525.97,87645.23,468,140,0
1741369140,87646.03,87761.73,87627.48,87644.99,459,140,0
1741369200,87645.25,87695.2,87516.83,87605.12,492,140,0
1741369260,87603.26,87714.52,87579.05,87698.9,512,140,0
1741369320,87711.03,87713.53,87564.45,87698.32,447,140,0
1741369380,87698.09,87851.3,87683.39,87825.61,440,140,0
1741369440,87811.34,87980.49,87801.86,87961.73,427,140,0
1741369500,87961.73,88169.47,87889.48,88162.08,493,140,0
1741369560,88149.43,88246.9,88024.1,88218.91,510,140,0
1741369620,88217.39,88228.7,88023.58,88078.31,502,140,0
1741369680,88078.0,88176.67,88018.52,88144.48,448,140,0
1741369740,88144.2,88195.05,87980.55,88067.65,364,140,0
1741369800,88067.66,88222.42,88040.44,88208.33,420,140,0
1741369860,88208.33,88295.02,88132.24,88288.4,437,140,0
1741369920,88288.71,88426.14,88255.33,88418.68,460,140,0
1741369980,88418.69,88569.32,88333.91,88397.78,416,140,0
1741370040,88395.49,88562.06,88376.51,88547.32,343,140,0
1741370100,88528.72,88635.29,88440.08,88448.95,405,140,0
1741370160,88452.23,88646.39,88292.77,88367.7,471,140,0
1741370220,88367.7,88367.7,88131.33,88133.9,508,140,0
1741370280,88133.96,88194.69,87580.03,87600.67,605,140,0
1741370340,87600.84,87786.45,87290.38,87688.19,634,140,0
1741370400,87693.47,87987.09,87495.26,87757.24,703,140,0
1741370460,87758.41,88007.38,87756.81,87816.55,610,140,0
1741370520,87809.31,88102.91,87753.74,88039.6,570,140,0
1741370580,88038.73,88237.62,87995.49,88074.34,499,140,0
1741370640,88074.34,88307.04,88059.5,88178.6,513,140,0
1741370700,88182.91,88536.28,88112.13,88496.77,593,140,0
1741370760,88508.26,88541.19,88150.99,88296.3,563,140,0
1741370820,88287.95,88415.64,88236.32,88261.42,496,140,0
1741370880,88259.45,88426.94,88190.84,88386.18,537,140,0
1741370940,88386.18,88386.18,87985.99,88106.85,494,140,0
1741371000,88106.85,88295.63,88073.53,88273.28,493,140,0
1741371060,88273.86,88274.27,87966.81,88105.98,547,140,0
1741371120,88105.98,88258.61,88095.11,88175.08,499,140,0
1741371180,88175.08,88264.5,88081.15,88192.01,515,140,0
1741371240,88195.56,88313.18,88177.31,88255.02,478,140,0
1741371300,88255.08,88277.71,88139.54,88267.98,485,140,0
1741371360,88271.43,88386.11,88202.54,88323.7,498,140,0
1741371420,88322.6,88384.22,88190.69,88233.75,477,140,0
1741371480,88232.02,88362.01,88195.76,88264.28,434,140,0
1741371540,88265.39,88277.88,88145.01,88206.54,414,140,0
1741371600,88207.16,88380.96,88114.98,88347.17,447,140,0
1741371660,88347.17,88400.95,88198.12,88203.43,471,140,0
1741371720,88192.89,88199.58,88026.36,88108.39,510,140,0
1741371780,88095.83,88095.83,87882.44,87893.69,494,140,0
1741371840,87895.63,87901.48,87684.98,87846.76,490,140,0
1741371900,87846.76,87972.56,87795.56,87823.25,411,140,0
1741371960,87823.26,88006.28,87793.06,87971.65,454,140,0
1741372020,87971.65,88150.92,87971.65,88102.0,458,140,0
1741372080,88102.0,88201.78,88020.58,88129.09,403,140,0
1741372140,88128.84,88196.36,88084.04,88160.81,447,140,0
1741372200,88161.61,88208.97,88042.17,88172.47,502,140,0
1741372260,88173.2,88247.36,88009.85,88034.56,484,140,0
1741372320,88034.42,88195.26,88034.42,88140.24,420,140,0
1741372380,88139.33,88207.11,88075.32,88181.73,390,140,0
1741372440,88182.31,88227.07,88091.77,88115.15,395,140,0
1741372500,88115.16,88138.31,87998.81,88131.05,494,140,0
1741372560,88130.99,88283.18,88092.05,88279.66,439,140,0
1741372620,88274.44,88563.54,88273.1,88539.73,510,140,0
1741372680,88549.4,88564.86,88413.52,88498.27,417,140,0
1741372740,88498.26,88553.3,88451.17,88491.61,367,140,0
1741372800,88489.16,88584.22,88466.42,88532.63,439,140,0
1741372860,88532.64,88573.98,88453.75,88510.04,452,140,0
1741372920,88510.04,88541.29,88357.48,88357.49,441,140,0
1741372980,88357.49,88487.15,88225.28,88274.08,468,140,0
1741373040,88274.08,88373.39,88227.95,88359.75,382,140,0
1741373100,88352.11,88371.82,88234.16,88259.64,428,140,0
1741373160,88268.92,88366.96,88255.68,88331.17,450,140,0
1741373220,88332.38,88559.03,88304.15,88555.04,436,140,0
1741373280,88556.6,88568.99,88440.94,88530.2,449,140,0
1741373340,88530.2,88530.2,88381.93,88458.73,330,140,0
1741373400,88457.87,88556.14,88410.3,88520.72,391,140,0
1741373460,88522.37,88762.44,88518.8,88584.67,469,140,0
1741373520,88584.75,88855.23,88584.44,88855.23,432,140,0
1741373580,88855.19,89062.04,88792.8,88924.89,475,140,0
1741373640,88924.89,88962.29,88822.76,88822.76,425,140,0
1741373700,88822.76,88845.97,88710.22,88734.87,449,140,0
